Size,PeakMemoryBytes,PeakMemoryKB,PeakMemoryMB
1000,4.84966e+06,4736,4.625
6000,4.96435e+06,4848,4.73438
11000,5.00941e+06,4892,4.77734
16000,5.07494e+06,4956,4.83984
21000,5.07494e+06,4956,4.83984
26000,5.18144e+06,5060,4.94141
31000,5.18144e+06,5060,4.94141
36000,5.3289e+06,5204,5.08203
41000,5.3289e+06,5204,5.08203
46000,5.3289e+06,5204,5.08203
51000,5.3289e+06,5204,5.08203
56000,5.55418e+06,5424,5.29688
61000,5.55418e+06,5424,5.29688
66000,5.55418e+06,5424,5.29688
71000,5.55418e+06,5424,5.29688
76000,5.55418e+06,5424,5.29688
81000,5.88595e+06,5748,5.61328
86000,6.23002e+06,6084,5.94141
91000,6.23002e+06,6084,5.94141
96000,6.23002e+06,6084,5.94141
101000,6.23002e+06,6084,5.94141
106000,6.23002e+06,6084,5.94141
111000,6.23002e+06,6084,5.94141
116000,6.23002e+06,6084,5.94141
121000,6.23002e+06,6084,5.94141
126000,6.23002e+06,6084,5.94141
131000,6.23002e+06,6084,5.94141
136000,6.23002e+06,6084,5.94141
141000,6.23002e+06,6084,5.94141
146000,6.23002e+06,6084,5.94141
151000,6.23002e+06,6084,5.94141
156000,6.23002e+06,6084,5.94141
161000,6.23002e+06,6084,5.94141
166000,6.90176e+06,6740,6.58203
171000,7.74308e+06,7561.6,7.38438
176000,7.64314e+06,7464,7.28906
181000,7.6841e+06,7504,7.32812
186000,7.72506e+06,7544,7.36719
191000,7.76602e+06,7584,7.40625
196000,7.80698e+06,7624,7.44531
201000,7.84794e+06,7664,7.48438
206000,7.8889e+06,7704,7.52344
211000,7.92986e+06,7744,7.5625
216000,7.96262e+06,7776,7.59375
221000,8.00358e+06,7816,7.63281
226000,8.04454e+06,7856,7.67188
231000,8.0855e+06,7896,7.71094
236000,8.12646e+06,7936,7.75
241000,8.16742e+06,7976,7.78906
246000,8.20838e+06,8016,7.82812
251000,8.24934e+06,8056,7.86719
256000,8.2903e+06,8096,7.90625
261000,8.32307e+06,8128,7.9375
266000,8.36403e+06,8168,7.97656
271000,8.40499e+06,8208,8.01562
276000,8.44595e+06,8248,8.05469
281000,8.48691e+06,8288,8.09375
286000,8.52787e+06,8328,8.13281
291000,8.56883e+06,8368,8.17188
296000,8.60979e+06,8408,8.21094
301000,8.64256e+06,8440,8.24219
306000,8.68352e+06,8480,8.28125
311000,8.72448e+06,8520,8.32031
316000,8.76544e+06,8560,8.35938
321000,8.8064e+06,8600,8.39844
326000,8.84736e+06,8640,8.4375
331000,8.88832e+06,8680,8.47656
336000,8.92928e+06,8720,8.51562
341000,8.97024e+06,8760,8.55469
346000,9.00301e+06,8792,8.58594
351000,9.04397e+06,8832,8.625
356000,9.08493e+06,8872,8.66406
361000,9.12589e+06,8912,8.70312
366000,9.16685e+06,8952,8.74219
371000,9.20781e+06,8992,8.78125
376000,9.24877e+06,9032,8.82031
381000,9.28973e+06,9072,8.85938
386000,9.3225e+06,9104,8.89062
391000,9.36346e+06,9144,8.92969
396000,9.40442e+06,9184,8.96875
401000,9.44538e+06,9224,9.00781
406000,9.48634e+06,9264,9.04688
411000,9.5273e+06,9304,9.08594
416000,9.56826e+06,9344,9.125
421000,9.60922e+06,9384,9.16406
426000,9.65018e+06,9424,9.20312
431000,9.68294e+06,9456,9.23438
436000,9.7239e+06,9496,9.27344
441000,9.76486e+06,9536,9.3125
446000,9.80582e+06,9576,9.35156
451000,9.84678e+06,9616,9.39062
456000,9.88774e+06,9656,9.42969
461000,9.9287e+06,9696,9.46875
466000,9.96966e+06,9736,9.50781
471000,1.00024e+07,9768,9.53906
476000,1.00434e+07,9808,9.57812
481000,1.00844e+07,9848,9.61719
486000,1.01253e+07,9888,9.65625
491000,1.01663e+07,9928,9.69531
496000,1.02072e+07,9968,9.73438
501000,1.02482e+07,10008,9.77344
506000,1.02892e+07,10048,9.8125
511000,1.03301e+07,10088,9.85156
516000,1.03629e+07,10120,9.88281
521000,1.04038e+07,10160,9.92188
526000,1.04448e+07,10200,9.96094
531000,1.04858e+07,10240,10
536000,1.05267e+07,10280,10.0391
541000,1.05677e+07,10320,10.0781
546000,1.06086e+07,10360,10.1172
551000,1.06496e+07,10400,10.1562
556000,1.06824e+07,10432,10.1875
561000,1.07233e+07,10472,10.2266
566000,1.07643e+07,10512,10.2656
571000,1.08052e+07,10552,10.3047
576000,1.08462e+07,10592,10.3438
581000,1.08872e+07,10632,10.3828
586000,1.09281e+07,10672,10.4219
591000,1.09691e+07,10712,10.4609
596000,1.101e+07,10752,10.5
601000,1.10428e+07,10784,10.5312
606000,1.10838e+07,10824,10.5703
611000,1.11247e+07,10864,10.6094
616000,1.11657e+07,10904,10.6484
621000,1.12067e+07,10944,10.6875
626000,1.12476e+07,10984,10.7266
631000,1.12886e+07,11024,10.7656
636000,1.13295e+07,11064,10.8047
641000,1.13623e+07,11096,10.8359
646000,1.14033e+07,11136,10.875
651000,1.14442e+07,11176,10.9141
656000,1.14852e+07,11216,10.9531
661000,1.15261e+07,11256,10.9922
666000,1.15671e+07,11296,11.0312
671000,1.16081e+07,11336,11.0703
676000,1.1649e+07,11376,11.1094
681000,1.169e+07,11416,11.1484
686000,1.17228e+07,11448,11.1797
691000,1.17637e+07,11488,11.2188
696000,1.18047e+07,11528,11.2578
701000,1.18456e+07,11568,11.2969
706000,1.18866e+07,11608,11.3359
711000,1.19276e+07,11648,11.375
716000,1.19685e+07,11688,11.4141
721000,1.20095e+07,11728,11.4531
726000,1.20422e+07,11760,11.4844
731000,1.20832e+07,11800,11.5234
736000,1.21242e+07,11840,11.5625
741000,1.21651e+07,11880,11.6016
746000,1.22061e+07,11920,11.6406
751000,1.2247e+07,11960,11.6797
756000,1.2288e+07,12000,11.7188
761000,1.2329e+07,12040,11.7578
766000,1.23699e+07,12080,11.7969
771000,1.24027e+07,12112,11.8281
776000,1.24436e+07,12152,11.8672
781000,1.24846e+07,12192,11.9062
786000,1.25256e+07,12232,11.9453
791000,1.25665e+07,12272,11.9844
796000,1.26075e+07,12312,12.0234
801000,1.26484e+07,12352,12.0625
806000,1.26894e+07,12392,12.1016
811000,1.27304e+07,12432,12.1406
816000,1.27631e+07,12464,12.1719
821000,1.28041e+07,12504,12.2109
826000,1.28451e+07,12544,12.25
831000,1.2886e+07,12584,12.2891
836000,1.2927e+07,12624,12.3281
841000,1.29679e+07,12664,12.3672
846000,1.30089e+07,12704,12.4062
851000,1.30499e+07,12744,12.4453
856000,1.30826e+07,12776,12.4766
861000,1.31236e+07,12816,12.5156
866000,1.31645e+07,12856,12.5547
871000,1.32055e+07,12896,12.5938
876000,1.32465e+07,12936,12.6328
881000,1.32874e+07,12976,12.6719
886000,1.33284e+07,13016,12.7109
891000,1.33693e+07,13056,12.75
896000,1.34103e+07,13096,12.7891
901000,1.34431e+07,13128,12.8203
906000,1.3484e+07,13168,12.8594
911000,1.3525e+07,13208,12.8984
916000,1.3566e+07,13248,12.9375
921000,1.36069e+07,13288,12.9766
926000,1.36479e+07,13328,13.0156
931000,1.36888e+07,13368,13.0547
936000,1.37298e+07,13408,13.0938
941000,1.37626e+07,13440,13.125
946000,1.38035e+07,13480,13.1641
951000,1.38445e+07,13520,13.2031
956000,1.38854e+07,13560,13.2422
961000,1.39264e+07,13600,13.2812
966000,1.39674e+07,13640,13.3203
971000,1.40083e+07,13680,13.3594
976000,1.40493e+07,13720,13.3984
981000,1.40902e+07,13760,13.4375
986000,1.4123e+07,13792,13.4688
991000,1.4164e+07,13832,13.5078
996000,1.42049e+07,13872,13.5469
